word,meaning,source_sentence,target_sentence,input_text,target_text
Cá tràu,Cá lóc con đã tách bầy sống riêng lẻ,Ba cá tràu nên thả nuôi thêm cho nó lớn đi,Mấy con cá lóc nhỏ này nên để nuôi thêm cho lớn,Cá tràu [SEP] Cá lóc con đã tách bầy sống riêng lẻ [SEP] Ba cá tràu nên thả nuôi thêm cho nó lớn đi,Mấy con cá lóc nhỏ này nên để nuôi thêm cho lớn
Bàn trang,Bàn thờ nhỏ trên vách,Cắm cho mẹ mỗi bàn trang một cây nhang nghen con,Cắm cho mẹ mỗi bàn thờ một nén nhang nhé con,Bàn trang [SEP] Bàn thờ nhỏ trên vách [SEP] Cắm cho mẹ mỗi bàn trang một cây nhang nghen con,Cắm cho mẹ mỗi bàn thờ một nén nhang nhé con
Ben,Đường xếp ly quần áo (bel),"Áo sống cái kiểu gì mà may cũng nhấn ben, như đồ con gái","Áo xống kiểu gì mà may cũng chiết ly, như đồ con gái","Ben [SEP] Đường xếp ly quần áo (bel) [SEP] Áo sống cái kiểu gì mà may cũng nhấn ben, như đồ con gái","Áo xống kiểu gì mà may cũng chiết ly, như đồ con gái"
Ăn nhằm,"Không đáng kể, không thấm vào đâu",Mới tốn có bao nhiêu đó mà ăn nhằm gì,Mới tốn có bao nhiêu đó mà đáng kể/thấm tháp gì,"Ăn nhằm [SEP] Không đáng kể, không thấm vào đâu [SEP] Mới tốn có bao nhiêu đó mà ăn nhằm gì",Mới tốn có bao nhiêu đó mà đáng kể/thấm tháp gì
Nôn ruột,Cồn cào xót ruột.,Chờ con gái đi thi đại học về mà bả ngồi nhà nôn ruột đi ra đi vô miết.,Đợi con gái đi thi đại học về mà bà ấy ngồi nhà sốt ruột đi ra đi vào mãi.,Nôn ruột [SEP] Cồn cào xót ruột. [SEP] Chờ con gái đi thi đại học về mà bả ngồi nhà nôn ruột đi ra đi vô miết.,Đợi con gái đi thi đại học về mà bà ấy ngồi nhà sốt ruột đi ra đi vào mãi.
Lặng cặng,"1. Chớm bệnh.2. Im phăng phắc, không tiếng động, nước chảy nhẹ lững lờ.",Dòng nước chảy lặng lờ,Dòng nước chảy lững lờ,"Lặng cặng [SEP] 1. Chớm bệnh.2. Im phăng phắc, không tiếng động, nước chảy nhẹ lững lờ. [SEP] Dòng nước chảy lặng lờ",Dòng nước chảy lững lờ
Nóc,Số 5 (cách đếm của người Hoa).,Nóc chóm. Tới năm trăm lận a?,Năm trăm. Tới tận năm trăm cơ à?,Nóc [SEP] Số 5 (cách đếm của người Hoa). [SEP] Nóc chóm. Tới năm trăm lận a?,Năm trăm. Tới tận năm trăm cơ à?
Bắt giò,"Bắt bẻ, soi mói lỗi sai nhỏ nhặt của người khác.","Cái tính ổng hay bắt giò đàn em, ai làm chung cũng áp lực.","Cái tính ông ấy hay soi mói bắt lỗi nhân viên cấp dưới, ai làm chung cũng thấy áp lực.","Bắt giò [SEP] Bắt bẻ, soi mói lỗi sai nhỏ nhặt của người khác. [SEP] Cái tính ổng hay bắt giò đàn em, ai làm chung cũng áp lực.","Cái tính ông ấy hay soi mói bắt lỗi nhân viên cấp dưới, ai làm chung cũng thấy áp lực."
Vợ đầm Vợ bé,Vợ Tây Vợ lẽ,Tụi bây thấy vợ đầm không? Tao thấy từ hồi nãy rồi.,Các bạn thấy vợ tây không? Tớ thấy từ nãy rồi.,Vợ đầm Vợ bé [SEP] Vợ Tây Vợ lẽ [SEP] Tụi bây thấy vợ đầm không? Tao thấy từ hồi nãy rồi.,Các bạn thấy vợ tây không? Tớ thấy từ nãy rồi.
Xi nhê,"Tác động, hề hấn",Uống nhiêu đó đâu có xi nhê gì.,Uống ngần đó không có ăn thua gì.,"Xi nhê [SEP] Tác động, hề hấn [SEP] Uống nhiêu đó đâu có xi nhê gì.",Uống ngần đó không có ăn thua gì.
Xì hơi khói,Kiệt sức nản lòng,Làm một hồi là xì hơi hết trơn.,Làm một lúc là đuối sức hết cả.,Xì hơi khói [SEP] Kiệt sức nản lòng [SEP] Làm một hồi là xì hơi hết trơn.,Làm một lúc là đuối sức hết cả.
Thím Xiếm,Vợ của chú,"Hổm rày bả cứ thím hoài, có chuyện gì vậy?","Dạo này bà ấy cứ vợ của chú mãi, có chuyện gì vậy?","Thím Xiếm [SEP] Vợ của chú [SEP] Hổm rày bả cứ thím hoài, có chuyện gì vậy?","Dạo này bà ấy cứ vợ của chú mãi, có chuyện gì vậy?"
Quay quắt,"Bồn chồn, đứng ngồi không yên",Chờ con về mà lòng dạ quay quắt.,Chờ con về mà lòng dạ bồn chồn.,"Quay quắt [SEP] Bồn chồn, đứng ngồi không yên [SEP] Chờ con về mà lòng dạ quay quắt.",Chờ con về mà lòng dạ bồn chồn.
Xiêu lạc,Phiêu bạt xa quê,"Dì Hai giải thích cho tụi nhỏ nghe về xiêu lạc, tụi nhỏ gật gù.","Dì Hai giải thích cho bọn nhỏ nghe về phiêu bạt xa quê, bọn nhỏ gật gù.","Xiêu lạc [SEP] Phiêu bạt xa quê [SEP] Dì Hai giải thích cho tụi nhỏ nghe về xiêu lạc, tụi nhỏ gật gù.","Dì Hai giải thích cho bọn nhỏ nghe về phiêu bạt xa quê, bọn nhỏ gật gù."
Tron trót,Rót róc rách Quất roi vút,Rót rượu nghe tron trót luôn.,Rót rượu nghe róc rách luôn.,Tron trót [SEP] Rót róc rách Quất roi vút [SEP] Rót rượu nghe tron trót luôn.,Rót rượu nghe róc rách luôn.
Ba mứa,"Nửa chừng, dở dang",Việc gì nó cũng làm ba mứa rồi để đó,Việc gì nó cũng làm dở dang rồi để đấy,"Ba mứa [SEP] Nửa chừng, dở dang [SEP] Việc gì nó cũng làm ba mứa rồi để đó",Việc gì nó cũng làm dở dang rồi để đấy
Bàn độc,Bàn thờ,"Xô bàn độc, nghĩ lại thêm buồn","Xô bàn thờ, nghĩ lại thêm buồn","Bàn độc [SEP] Bàn thờ [SEP] Xô bàn độc, nghĩ lại thêm buồn","Xô bàn thờ, nghĩ lại thêm buồn"
Lơi lơi,"Hơi hơi, vơi vơi, giảm nhẹ đi (nấu dư ra, chạy chậm lại).",Chạy lơi lơi ở ngoài một tí ghe nó không bị vướng rác.,Chạy chậm chậm vòng ngoài một tí thuyền nó không bị vướng rác.,"Lơi lơi [SEP] Hơi hơi, vơi vơi, giảm nhẹ đi (nấu dư ra, chạy chậm lại). [SEP] Chạy lơi lơi ở ngoài một tí ghe nó không bị vướng rác.",Chạy chậm chậm vòng ngoài một tí thuyền nó không bị vướng rác.
Ăn xàm xập,"Ăn nhiều lần liên tục, không ngớt, ăn tối ngày.",Mày tối ngày cứ ăn xàm xạp như heo vậy.,Cậu tối ngày cứ ăn liên tục không ngớt như heo vậy.,"Ăn xàm xập [SEP] Ăn nhiều lần liên tục, không ngớt, ăn tối ngày. [SEP] Mày tối ngày cứ ăn xàm xạp như heo vậy.",Cậu tối ngày cứ ăn liên tục không ngớt như heo vậy.
Nhà chòi,Nhà chòi đồ chơi của trẻ em trò chơi đồ hàng.,Em nó đang chơi nhà chòi với tụi con.,Em nó đang chơi đồ hàng với tụi con.,Nhà chòi [SEP] Nhà chòi đồ chơi của trẻ em trò chơi đồ hàng. [SEP] Em nó đang chơi nhà chòi với tụi con.,Em nó đang chơi đồ hàng với tụi con.
Hờ cơ,"Bất ngờ, thình lình Phòng khi xảy ra chuyện.","Bả đi xa nên đem theo cái khâu vàng, hờ cơ hết tiền","Bà ấy đi xa nên mang theo chiếc nhẫn vàng, phòng khi cạn tiền","Hờ cơ [SEP] Bất ngờ, thình lình Phòng khi xảy ra chuyện. [SEP] Bả đi xa nên đem theo cái khâu vàng, hờ cơ hết tiền","Bà ấy đi xa nên mang theo chiếc nhẫn vàng, phòng khi cạn tiền"
Khiếp đảm,"Sợ đến mức mất hồn vía, kinh hoàng",Bà La Sát hét một tiếng nghe khiếp đảm.,Bà La Sát hét một tiếng nghe rợn người.,"Khiếp đảm [SEP] Sợ đến mức mất hồn vía, kinh hoàng [SEP] Bà La Sát hét một tiếng nghe khiếp đảm.",Bà La Sát hét một tiếng nghe rợn người.
Chấn (),"Dùng tay chặn, đẩy ra",Nó dùng tay chấn tôi văng ra một bên,Nó dùng tay đẩy mạnh tôi văng ra một bên,"Chấn () [SEP] Dùng tay chặn, đẩy ra [SEP] Nó dùng tay chấn tôi văng ra một bên",Nó dùng tay đẩy mạnh tôi văng ra một bên
Có đường,"Có hy vọng, có khả năng diễn ra như mong đợi","Kì này theo tao, đội Ác hen ti na có đường vô địch lắm đó",Theo nhận định của tao thì giải đấu kỳ này đội Argentina rất có triển vọng giành chức vô địch đấy,"Có đường [SEP] Có hy vọng, có khả năng diễn ra như mong đợi [SEP] Kì này theo tao, đội Ác hen ti na có đường vô địch lắm đó",Theo nhận định của tao thì giải đấu kỳ này đội Argentina rất có triển vọng giành chức vô địch đấy
Diệm,"Vật đựng nước bằng sành, miệng rộng để rửa bát",Rộng cá lóc bằng diệm mà không đậy thì cúng là phải rồi,Nhốt cá lóc bằng cái chậu sành mà không đậy thì nó nhảy mất là đúng rồi,"Diệm [SEP] Vật đựng nước bằng sành, miệng rộng để rửa bát [SEP] Rộng cá lóc bằng diệm mà không đậy thì cúng là phải rồi",Nhốt cá lóc bằng cái chậu sành mà không đậy thì nó nhảy mất là đúng rồi
Bồ (động từ),"Yêu nhau, cặp kè Kết bạn thân",Hai con nhỏ ấy bồ với nhau từ ngày học ở quê,Hai cô bé ấy chơi thân với nhau từ ngày học ở quê,"Bồ (động từ) [SEP] Yêu nhau, cặp kè Kết bạn thân [SEP] Hai con nhỏ ấy bồ với nhau từ ngày học ở quê",Hai cô bé ấy chơi thân với nhau từ ngày học ở quê
Mai (1),"Mối, mai mối, làm môi giới cho việc hôn nhân.",Mày chịu con nhỏ đó hôn tao làm mai nó cho.,Mày ưng cô bé đó không tao làm mối cho.,"Mai (1) [SEP] Mối, mai mối, làm môi giới cho việc hôn nhân. [SEP] Mày chịu con nhỏ đó hôn tao làm mai nó cho.",Mày ưng cô bé đó không tao làm mối cho.
Nín,"Sượng, cứng, không chín (thức ăn)","Đậu đen này ngâm chưa kỹ, nấu hoài mà hột đậu vẫn nín.","Đậu đen này ngâm chưa kỹ, nấu mãi mà hạt đậu vẫn sượng.","Nín [SEP] Sượng, cứng, không chín (thức ăn) [SEP] Đậu đen này ngâm chưa kỹ, nấu hoài mà hột đậu vẫn nín.","Đậu đen này ngâm chưa kỹ, nấu mãi mà hạt đậu vẫn sượng."
Cầm chia (Cầm chìa),"Làm lấy lệ Cầm chầu, chủ trì cuộc họp hoặc cuộc vui","Phải nói ông Ba, ổng cầm chìa cuộc họp đâu ra đó",Phải công nhận ông Ba chủ trì cuộc họp rất tốt,"Cầm chia (Cầm chìa) [SEP] Làm lấy lệ Cầm chầu, chủ trì cuộc họp hoặc cuộc vui [SEP] Phải nói ông Ba, ổng cầm chìa cuộc họp đâu ra đó",Phải công nhận ông Ba chủ trì cuộc họp rất tốt
Nhà lầu,"Nhà tầng, nhà gác Khu nhà có mái che lợp ở trung tâm chợ.",phải vô nhà lồng chợ Mỹ Tho mới có,phải vào khu chợ vòm trung tâm Mỹ Tho mới có,"Nhà lầu [SEP] Nhà tầng, nhà gác Khu nhà có mái che lợp ở trung tâm chợ. [SEP] phải vô nhà lồng chợ Mỹ Tho mới có",phải vào khu chợ vòm trung tâm Mỹ Tho mới có
Trớt da me,"Tuột mất, hụt hẫng",Đợi cho cố vô rồi kết quả trớt da me.,Đợi cho lắm vào rồi kết quả chẳng đâu vào đâu.,"Trớt da me [SEP] Tuột mất, hụt hẫng [SEP] Đợi cho cố vô rồi kết quả trớt da me.",Đợi cho lắm vào rồi kết quả chẳng đâu vào đâu.
Tía (dượng),Dượng Chú rể (người Hoa),"Ở dưới quê người ta hay tía lắm, trên này ít hơn.","Ở dưới quê người ta hay dượng lắm, trên này ít hơn.","Tía (dượng) [SEP] Dượng Chú rể (người Hoa) [SEP] Ở dưới quê người ta hay tía lắm, trên này ít hơn.","Ở dưới quê người ta hay dượng lắm, trên này ít hơn."
Bỗng bằng,"Thẳng thắn, thiếu dè dặt","Ăn nói bỗng bằng như vậy, nghe sao được","Ăn nói thẳng thừng quá mức như vậy, nghe sao được","Bỗng bằng [SEP] Thẳng thắn, thiếu dè dặt [SEP] Ăn nói bỗng bằng như vậy, nghe sao được","Ăn nói thẳng thừng quá mức như vậy, nghe sao được"
Tép bạc,Tép màu trắng vỏ trong,"Hổm rày tụi nó cứ tép bạc hoài, có chuyện gì vậy?","Dạo này bọn chúng cứ tép màu trắng vỏ trong mãi, có chuyện gì vậy?","Tép bạc [SEP] Tép màu trắng vỏ trong [SEP] Hổm rày tụi nó cứ tép bạc hoài, có chuyện gì vậy?","Dạo này bọn chúng cứ tép màu trắng vỏ trong mãi, có chuyện gì vậy?"
Vúc va vúc vắc,"Đung đưa, vùng vằng",Biểu làm mà nó cứ vúc vắc hoài.,Bảo làm mà nó cứ vùng vằng mãi.,"Vúc va vúc vắc [SEP] Đung đưa, vùng vằng [SEP] Biểu làm mà nó cứ vúc vắc hoài.",Bảo làm mà nó cứ vùng vằng mãi.
Cốt (),"Hài cốt, xương cốt người chết bốc mả","Ba má chết nằm xa quê cũng lâu rồi, nên tôi dự định Thanh Minh này sẽ lấy cốt đưa về quê","Bố mẹ mất chôn xa quê lâu rồi, tôi định dịp Thanh Minh sẽ bốc hài cốt đưa về quê","Cốt () [SEP] Hài cốt, xương cốt người chết bốc mả [SEP] Ba má chết nằm xa quê cũng lâu rồi, nên tôi dự định Thanh Minh này sẽ lấy cốt đưa về quê","Bố mẹ mất chôn xa quê lâu rồi, tôi định dịp Thanh Minh sẽ bốc hài cốt đưa về quê"
Xiếng niềng,Lảo đảo thất bại xiêu vẹo,Thua bài đến mức xiếng niềng luôn.,Thua bài đến mức lao đao luôn.,Xiếng niềng [SEP] Lảo đảo thất bại xiêu vẹo [SEP] Thua bài đến mức xiếng niềng luôn.,Thua bài đến mức lao đao luôn.
Quái kiệt,Người tài năng khác thường,Ông đó là một quái kiệt trong làng nhạc.,Ông ấy là một tài năng phi thường trong làng nhạc.,Quái kiệt [SEP] Người tài năng khác thường [SEP] Ông đó là một quái kiệt trong làng nhạc.,Ông ấy là một tài năng phi thường trong làng nhạc.
Vào khem,Kiêng cữ hoặc túng thiếu,Gia đình phải vào khem muốn chết luôn.,Gia đình phải thắt lưng buộc bụng muốn chết luôn.,Vào khem [SEP] Kiêng cữ hoặc túng thiếu [SEP] Gia đình phải vào khem muốn chết luôn.,Gia đình phải thắt lưng buộc bụng muốn chết luôn.
Vấy vá,"Nhem nhuốc, bẩn thỉu","Tao học được cái vấy vá này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái nhem nhuốc này từ hồi nhỏ, giờ vẫn nhớ.","Vấy vá [SEP] Nhem nhuốc, bẩn thỉu [SEP] Tao học được cái vấy vá này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái nhem nhuốc này từ hồi nhỏ, giờ vẫn nhớ."
Xa cạ,"Bán xô, không chọn lựa","Chuyện xa cạ này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện bán xô này nghe lạ nhưng thật đó, tớ chứng kiến.","Xa cạ [SEP] Bán xô, không chọn lựa [SEP] Chuyện xa cạ này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện bán xô này nghe lạ nhưng thật đó, tớ chứng kiến."
Chút xíu xịu,"Một lượng hay thời gian vô cùng ít ỏi, nhỏ bé","Đi mới có một chút xịu mà nó than mệt, đòi nghỉ hai ba lần","Mới đi được một đoạn đường rất ngắn mà nó đã than mệt, đòi nghỉ hai ba lần","Chút xíu xịu [SEP] Một lượng hay thời gian vô cùng ít ỏi, nhỏ bé [SEP] Đi mới có một chút xịu mà nó than mệt, đòi nghỉ hai ba lần","Mới đi được một đoạn đường rất ngắn mà nó đã than mệt, đòi nghỉ hai ba lần"
Tắt vô lim,Im lặng (Volume),"Hổm rày bả cứ tắt vô lim hoài, có chuyện gì vậy?","Dạo này bà ấy cứ im lặng mãi, có chuyện gì vậy?","Tắt vô lim [SEP] Im lặng (Volume) [SEP] Hổm rày bả cứ tắt vô lim hoài, có chuyện gì vậy?","Dạo này bà ấy cứ im lặng mãi, có chuyện gì vậy?"
Thua cháy nóp trất,Thua sạch sành sanh,"Hổm rày con bạn cứ thua cháy nóp hoài, có chuyện gì vậy?","Dạo này bạn nữ cứ thua sạch sành sanh mãi, có chuyện gì vậy?","Thua cháy nóp trất [SEP] Thua sạch sành sanh [SEP] Hổm rày con bạn cứ thua cháy nóp hoài, có chuyện gì vậy?","Dạo này bạn nữ cứ thua sạch sành sanh mãi, có chuyện gì vậy?"
Mồi,"1. Đồ nhắm rượu.2. Lỗ khoan nhử châm thêm nước, châm thêm rượu.3. Mồi câu cá (mồi cắt, mồi chạy).","Nhà nghèo... chỉ có ba cái mồi cóc, ổi","Nhà nghèo... chỉ có mấy cái đồ nhắm cóc, ổi","Mồi [SEP] 1. Đồ nhắm rượu.2. Lỗ khoan nhử châm thêm nước, châm thêm rượu.3. Mồi câu cá (mồi cắt, mồi chạy). [SEP] Nhà nghèo... chỉ có ba cái mồi cóc, ổi","Nhà nghèo... chỉ có mấy cái đồ nhắm cóc, ổi"
Bộ giỡn,"Như đùa, tưởng dễ dàng","Mầy nói bộ giỡn, làm không xong ổng cúp lương liền","Cậu tưởng đùa chắc, làm không xong ông ấy trừ lương ngay","Bộ giỡn [SEP] Như đùa, tưởng dễ dàng [SEP] Mầy nói bộ giỡn, làm không xong ổng cúp lương liền","Cậu tưởng đùa chắc, làm không xong ông ấy trừ lương ngay"
Xá lị,"Tên giống ổi (giòn, xốp)",Ổi xá lị này ngọt và thơm lắm.,Ổi giống xá lị này ngọt và thơm lắm.,"Xá lị [SEP] Tên giống ổi (giòn, xốp) [SEP] Ổi xá lị này ngọt và thơm lắm.",Ổi giống xá lị này ngọt và thơm lắm.
Nầy,"Này, hôm nay, dạo này.",Mấy ngày nây,Mấy ngày nay,"Nầy [SEP] Này, hôm nay, dạo này. [SEP] Mấy ngày nây",Mấy ngày nay
Cô,Chị hoặc em gái của bố,"Tôi có ba cô Cô hai, cô tư, cô út đều theo chồng lên Sài Gòn sống","Tôi có ba người cô ruột Cô thứ hai, cô thứ tư, cô út đều lấy chồng trên Sài Gòn","Cô [SEP] Chị hoặc em gái của bố [SEP] Tôi có ba cô Cô hai, cô tư, cô út đều theo chồng lên Sài Gòn sống","Tôi có ba người cô ruột Cô thứ hai, cô thứ tư, cô út đều lấy chồng trên Sài Gòn"
Bình ton,Bi-đông đựng nước (bidon),Cái bình ton dùng để đựng nước đi đồng là ngon rồi,Cái bi-đông dùng để đựng nước đi làm đồng là tốt rồi,Bình ton [SEP] Bi-đông đựng nước (bidon) [SEP] Cái bình ton dùng để đựng nước đi đồng là ngon rồi,Cái bi-đông dùng để đựng nước đi làm đồng là tốt rồi
Nói mí,Hé lộ một chút chứ không nói hết.,Nó nói mí vậy là ai cũng hiểu rồi,Nó chỉ gợi mở một chút vậy là ai cũng tự hiểu rồi,Nói mí [SEP] Hé lộ một chút chứ không nói hết. [SEP] Nó nói mí vậy là ai cũng hiểu rồi,Nó chỉ gợi mở một chút vậy là ai cũng tự hiểu rồi
Ngột,Ngạt thở,Vô tới cái kho chứa đồ cũ là nghe mùi ẩm mốc bốc lên ngột ngạt dễ sợ.,Vào tới cái kho chứa đồ cũ là thấy mùi ẩm mốc bốc lên ngột ngạt kinh khủng.,Ngột [SEP] Ngạt thở [SEP] Vô tới cái kho chứa đồ cũ là nghe mùi ẩm mốc bốc lên ngột ngạt dễ sợ.,Vào tới cái kho chứa đồ cũ là thấy mùi ẩm mốc bốc lên ngột ngạt kinh khủng.
Hầm (1),1. Ao đào sâu để nuôi cá.2. Hầm vệ sinh (hầm cầu).,Cái hầm này cá nhiều lắm,Cái ao này nhiều cá lắm,Hầm (1) [SEP] 1. Ao đào sâu để nuôi cá.2. Hầm vệ sinh (hầm cầu). [SEP] Cái hầm này cá nhiều lắm,Cái ao này nhiều cá lắm
Thau tháu,"Linh hoạt, nhanh nhẹn","Tao học được cái thau tháu này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái linh hoạt này từ hồi nhỏ, giờ vẫn nhớ.","Thau tháu [SEP] Linh hoạt, nhanh nhẹn [SEP] Tao học được cái thau tháu này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái linh hoạt này từ hồi nhỏ, giờ vẫn nhớ."
Quậy nát nước,Gây rối khắp nơi,Hai vợ chồng nó quậy nát nước.,Hai vợ chồng chúng nó làm loạn hết cả lên.,Quậy nát nước [SEP] Gây rối khắp nơi [SEP] Hai vợ chồng nó quậy nát nước.,Hai vợ chồng chúng nó làm loạn hết cả lên.
Kẹt (1),"1. Khe hở, kẽ hở hẹp chạy dài.2. Góc xó, ngóc ngách tối tăm.",Chú rón rén lại dòm kẹt cửa.,Chú rón rén lại gần nhìn trộm qua khe cửa.,"Kẹt (1) [SEP] 1. Khe hở, kẽ hở hẹp chạy dài.2. Góc xó, ngóc ngách tối tăm. [SEP] Chú rón rén lại dòm kẹt cửa.",Chú rón rén lại gần nhìn trộm qua khe cửa.
Xịch đụi,Ì ạch bất hòa,Vợ chồng nó cứ xịch đụi suốt ngày.,Vợ chồng chúng nó cứ lục đục suốt ngày.,Xịch đụi [SEP] Ì ạch bất hòa [SEP] Vợ chồng nó cứ xịch đụi suốt ngày.,Vợ chồng chúng nó cứ lục đục suốt ngày.
Nhợn,"1. Ợ lên, buồn nôn.2. Ngán, ngấy, phát sợ.",Mới sáng sớm chơi ba viên chè muốn nhợn ra rồi,Mới sáng sớm ăn ba viên chè trôi nước là muốn nôn ra rồi,"Nhợn [SEP] 1. Ợ lên, buồn nôn.2. Ngán, ngấy, phát sợ. [SEP] Mới sáng sớm chơi ba viên chè muốn nhợn ra rồi",Mới sáng sớm ăn ba viên chè trôi nước là muốn nôn ra rồi
Huề,"1. Hòa, không phân thắng bại.2. Làm hòa.",Chơi từ sáng tới giờ tôi huề vốn,Chơi từ sáng tới giờ tôi hòa vốn,"Huề [SEP] 1. Hòa, không phân thắng bại.2. Làm hòa. [SEP] Chơi từ sáng tới giờ tôi huề vốn",Chơi từ sáng tới giờ tôi hòa vốn
Mốc,"Từ phủ định (có cái mốc, đếch có, sức mấy, mốc xì).",Mốc xì! Ở đó nó có tiền mà cho anh mượn.,Cái con khỉ! Lấy đâu ra tiền mà cho anh mượn.,"Mốc [SEP] Từ phủ định (có cái mốc, đếch có, sức mấy, mốc xì). [SEP] Mốc xì! Ở đó nó có tiền mà cho anh mượn.",Cái con khỉ! Lấy đâu ra tiền mà cho anh mượn.
Tệ hệ,"Rất tệ hại, yếu kém","Ở dưới quê người ta hay tệ hệ lắm, trên này ít hơn.","Ở dưới quê người ta hay rất tệ hại lắm, trên này ít hơn.","Tệ hệ [SEP] Rất tệ hại, yếu kém [SEP] Ở dưới quê người ta hay tệ hệ lắm, trên này ít hơn.","Ở dưới quê người ta hay rất tệ hại lắm, trên này ít hơn."
Ngoem ngoém,Nhai ngấu nghiến nói liến thoắng.,Miệng mồm ngoem ngoém,Miệng mồm liến thoắng,Ngoem ngoém [SEP] Nhai ngấu nghiến nói liến thoắng. [SEP] Miệng mồm ngoem ngoém,Miệng mồm liến thoắng
Quá,Cách xưng hô Tôi (gốc Triều Châu),"Bà Chín hay nói tới chuyện quá hoài, tao quen tai rồi.","Bà Chín hay nói tới chuyện cách xưng hô ""tôi"" mãi, tớ quen tai rồi.","Quá [SEP] Cách xưng hô Tôi (gốc Triều Châu) [SEP] Bà Chín hay nói tới chuyện quá hoài, tao quen tai rồi.","Bà Chín hay nói tới chuyện cách xưng hô ""tôi"" mãi, tớ quen tai rồi."
