Ách ách," anh ách, có cảm giác tức, khó chịu","Người nhà về thưa lại, thầy trò đều tức mình ách ách","Người nhà về thưa lại, thầy trò đều tức mình anh ách",
Ạch đụi," ì ạch, nặng nhọc, vất vả, bấp bênh, từ mô tả tình trạng tiến triển chậm chạp, khó nhọc",Dạo này làm ăn coi bộ ạch đụi quá,Dạo này làm ăn coi bộ ì ạch quá,
Ách xì xằng,"  adjudant  người giữ chức vụ tương đương thượng sĩ, trên chức đội trong quân đội Pháp, gọi có ý trân trọng","Ách xì xằng mình khó tánh lắm, mày dừng chọc giận ổng","Thượng sĩ mình khó tánh lắm, cậu dừng chọc giận ông ấy",
Ái chà, cách nói biểu thị sự ngạc nhiên,"Ái chà, con nhỏ này bữa nay gan ghê ta","Ái chà, con bé này hôm nay gan ghê ta",
Ái chà chà," cách nói biểu thị sự ngạc nhiên, có phần quá mức","Ái chà chà, cái con nhỏ chơi quá quắt","Ái chà chà, cái con bé chơi quá quắt",
Ai dè," ai ngờ, nào ngờ, nào ai có ngờ, ý nói sự việc không lường trước dược, đến giờ mới nhận ra thì đã muộn, cách nói có ý ngỡ ngàng, hoặc tiếc rẻ","Tưởng là anh tới anh chơi, Ai dè anh tới kết đôi vợ chồng","Tưởng là anh tới anh chơi, Không ngờ anh tới kết đôi vợ chồng",
Án," che khuất, chặn lối, gây trở ngại","Bóng trăng bị cây án, nên thấy chỗ mờ chỗ tỏ, ngọn gió thổi lay tàu dừa nên thấy gục xuống cất lên ,","Bóng trăng bị cây che mất, nên thấy chỗ mờ chỗ tỏ, ngọn gió thổi lay tàu dừa nên thấy gục xuống cất lên ,",
Án," che khuất, chặn lối, gây trở ngại",Chiếc xe đậu án trước cửa nhà,Chiếc xe đậu chắn trước cửa nhà,
An nam,"(Ngày) âm lịch, lịch tính thời gian theo sự chuyển động của mặt trăng",Hôm nay là mấy an nam rồi vậy chị?,Hôm nay là ngày mấy âm lịch rồi vậy chị?,
An nam,"(Ngày) âm lịch, lịch tính thời gian theo sự chuyển động của mặt trăng","Ông nhà tôi, ổng quen tính lịch an nam, nên chị nói ngày Tây ổng lộn rồi đó","Ông nhà tôi, ông ấy quen tính ngày âm lịch, nên chị nói ngày Tây ông ấy nhầm rồi đó",
An nhiên,Ở trạng thái vô cảm như không có điều gì xảy ra,"Rồi tôi ngồi quẹt tay lau nước mắt đi, kỹ càng, để gương mặt an nhiên, ráo hoảnh","Rồi tôi ngồi quẹt tay lau nước mắt đi, kỹ càng, để gương mặt ở trạng thái vô cảm như không có điều gì xảy ra, ráo hoảnh",
Áng,"Đồ dùng để đựng nước bằng đất nung nhỏ thường đặt cạnh bờ kênh, rạch","Nước lớn rồi, con đổ nước vô ảng đi","Nước lớn rồi, con đổ nước vào đồ đựng nước bằng đất nung đi",
Áng2,"Bãi đất trống, rộng, chưa được trồng trọt",Nó thả diều ở ngoài áng,Nó thả diều ở ngoài bãi đất trống chưa được trồng trọt,
Áng3,"Che khuất, có vật cản làm cho ánh sáng hoặc tầm nhìn không thể xa hơn","Trăng lên khỏi núi, bụi chuối áng con trăng lờ, Tiếng em ở chợ sao khờ bán buôn","Trăng lên khỏi núi, bụi chuối che khuất con trăng lờ, Tiếng em ở chợ sao khờ bán buôn",
Ành,"Oành, đoành, tiếng súng nổ","Đi sao được, súng đang nó ảnh ành","Đi sao được, súng đang nổ đoành đoành",
Ảnh,"Từ rút gọn của anh ấy chỉ ngôi III, nam, số ít",Ảnh còn nói ảnh chỉ cướp của nhà giàu đem cho nhà nghèo không nghe lời tía dạy đâu,Anh ấy còn nói anh ấy chỉ cướp của nhà giàu đem cho nhà nghèo không nghe lời bố dạy đâu,
Anh Ba,"Người Hoa, cách nói Ba Tàu được lược bỏ bớt một thành tố, có ý trân trọng","Mấy anh Ba ở Chợ Lớn, buôn bán là nghề của ảnh rồi","Mấy người Hoa ở Chợ Lớn, buôn bán là nghề của anh ấy rồi",
Anh bảy,Người có nước da ngăm đen (gốc Ấn/Khmer),"Mấy anh bảy đi bán thuốc dạo này là dân chịu chơi không đó, mày đừng có tưởng","Mấy người da ngăm đen đi bán thuốc dạo này là dân chịu chơi không đó, cậu đừng có tưởng",
Anh bảy,(Từ lóng) Bãi phân trên đường,Thằng nào xớn xơ xớn xác dẫm phải anh bảy mang vào nhà cho hôi rình đây,Thằng nào xớn xơ xớn xác dẫm phải bãi phân mang vào nhà cho hôi rình đây,
Anh bảy chà,Chỉ chung người Cha va (Chà và) da ngăm đen,Em nó đã sợ mà con cứ lấy hình anh bảy chà ra nhát nó hoài,Em nó đã sợ mà con cứ lấy hình người Chà Và da ngăm đen ra nhát nó hoài,
Anh chị,"Cách gọi dân dã, kiêng nể những người có thế lực trong giới giang hồ","Mãi đến đệ nhứt thế chiến, anh chị ở Sài Gòn - Chợ Lớn còn là đề tài lưu truyền trong dân gian","Mãi đến đệ nhất thế chiến, những người có thế lực trong giới giang hồ ở Sài Gòn - Chợ Lớn còn là đề tài lưu truyền trong dân gian",
Ảnh chỉ,"Từ rút gọn của anh, chị ấy chỉ ngôi III số nhiều",Ảnh chỉ có nhà không bà?,Anh chị ấy có nhà không bà?,
Anh chị bự,"Hạng người giang hồ, hống hách, ngang tàng, có thế lực",Hắn là một tay anh chị bự,Hắn là một tay giang hồ có thế lực,
Anh ẹ,"Khoe khoang, khoác lác, lắm điều, biểu hiện muốn hơn người khác",Con bé này anh ẹ khó thương,"Con bé này khoe khoang, lắm điều khó thương",
Anh em bạn dì,"Quan hệ anh em giữa con của hai chị, em gái","Tôi với nó là anh em bạn dì, mẹ tôi là chị hai của mẹ nó","Tôi với nó là anh em con của hai chị em gái, mẹ tôi là chị hai của mẹ nó",
Anh em chú bác,"Quan hệ anh em giữa con của hai anh, em trai","Tôi với nó là anh em chú bác, tôi gọi cha nó bằng chú","Tôi với nó là anh em con của hai anh em trai, tôi gọi cha nó bằng chú",
Anh em cô cậu,"Quan hệ anh em giữa con của hai anh, em gái, hoặc hai chị, em trai","Tôi với nó là anh em cô cậu, mẹ tôi là chị (em gái) của cha nó","Tôi với nó là anh em con của chị em gái và anh em trai, mẹ tôi là chị (em gái) của cha nó",
Anh em cột chèo,Quan hệ anh em giữa hai người đàn ông lấy hai chị em gái làm vợ,"Tôi với nó là anh em cột chèo, tôi lấy cô chị nó lấy cô em","Tôi với nó là anh em bạn rể (cùng lấy hai chị em gái), tôi lấy cô chị nó lấy cô em",
Anh hai,"Anh cả, anh trai trưởng trong gia đình","Nhà tôi có cả thảy năm anh em, anh hai, chị ba, anh tư, anh năm và tôi","Nhà tôi có cả thảy năm anh em, anh cả, chị ba, anh tư, anh năm và tôi",
Anh hai,Cách xưng hô trân trọng người đối diện,"Anh hai, dạo này khoẻ hôn?","Ông anh (người đáng kính), dạo này khoẻ không?",
Anh hai,Người đứng đầu băng nhóm giang hồ,"Anh hai đừng giận, bọn em út sẽ xử đẹp với nó cho anh hai coi","Đại ca đừng giận, bọn đàn em sẽ xử đẹp nó cho đại ca xem",
Anh hai,(Nghĩa bóng) Tiền bạc (sức mạnh đồng tiền),"Ai có anh hai thì cứ việc mua vé máy bay, chỉ một ngày một đêm là tới nơi","Ai có tiền bạc thì cứ việc mua vé máy bay, chỉ một ngày một đêm là tới nơi",
anh hùng,"Nản lòng, mất nhuệ khí, thất vọng nản chí.",Nghe nó nói là tao nản chí anh hào rồi. Còn đi gì nữa.,Nghe nó nói là tao nản lòng thoái chí rồi. Còn đi gì nữa.,
anh hùng,"Nản lòng, mất nhuệ khí, thất vọng nản chí.",Riết rồi nản chí anh hùng chẳng muốn làm nữa.,Dần đà nản lòng nản chí chẳng muốn làm nữa.,
Ãnh ương,"(Ễnh ương) loài ếch nhái, bụng to, tiếng kêu ồn to",Trời mưa ãnh ương kêu om sòm quá,Trời mưa loài ếch nhái bụng to kêu om sòm quá,
Ào ào,"Tới tấp, liên tiếp, không ngưng nghỉ","Không thỉnh không thăng, chớ làm gì mà ào ào vậy","Không thỉnh không thăng, chứ làm gì mà tới tấp liên tiếp vậy",
Ào ào,,"Bốn bên thành luỹ đắp cao, Giặc đánh ào ào thiếp ở trong cung","Bốn bên thành luỹ đắp cao, Giặc đánh tới tấp liên tiếp thiếp ở trong cung",
Ào ào,"Hỗn láo, ồn ào, cử chỉ thiếu sự kiềm chế",Làm gì mà ào ào như chó vậy,"Làm gì mà ồn ào, thiếu kiềm chế như chó vậy",
Áo lá,"Áo không có tay, được mặc lót bên trong, thường phụ nữ lớn tuổi hay mặc","Mấy bà đi đâu hay mặc cái áo lá ở bên trong, có nực cởi ra cũng tiện","Mấy bà đi đâu hay mặc cái áo không tay lót bên trong, có nực cởi ra cũng tiện",
Áo lá,"Lớp lông tơ mới mọc cánh, đầu, lưng chưa đều ở các loài có lông vũ","Lứa gà này mới mặc áo lá, chưa ăn thịt được đâu","Lứa gà này mới mọc lớp lông tơ chưa đều, chưa ăn thịt được đâu",
Áo nổi,"Áo phao, áo mặc giữ cho người nổi trên mặt nước",Chàng lội giỏi lại có áo nổi nên lượn trên mặt sông như rái,Chàng lội giỏi lại có áo phao (áo giữ nổi) nên lượn trên mặt sông như rái,
Áo rộng,"Áo thụng, áo nghỉ lễ, thường được may dài và rộng","Ba cái áo rộng thì cái nào cũng vậy thôi, làm gì có chuyện vừa người","Ba cái áo thụng may dài và rộng thì cái nào cũng vậy thôi, làm gì có chuyện vừa người",
Áo rộng quần dài,"Áo quần được mặc khi đi ngoài phố hoặc dự đám tiệc, chỉ chung cách ăn mặc chỉnh tề, sang trọng",Đi đâu mà áo rộng quần dài chỉnh tề vậy?,"Đi đâu mà ăn mặc sang trọng, chỉnh tề vậy?",
Áo thun,"Áo may ô, áo có mình vải co giãn giống như dây thun","Áo bà ba trắng không ngắn, không dài, Sao anh không bận, bận hoài áo thun","Áo bà ba trắng không ngắn, không dài, Sao anh không mặc, mặc mãi áo may ô (vải co giãn)",
Áo thun lá,"Áo may ô không tay, thường được nam giới dùng để mặc lót bên trong",Đi đâu ra ngoài đường mà mặc áo thun lá vậy?,Đi đâu ra ngoài đường mà mặc áo may ô không tay lót bên trong vậy?,
Áo túi,"Một loại áo có tay ngắn, có túi, thường được phụ nữ lớn tuổi mặc ở nhà hoặc lót bên trong","Mấy bà già hay mặc áo túi, chớ con gái đứa nào chịu mặc mà bà may cho mắc công","Mấy bà già hay mặc áo tay ngắn có túi, chứ con gái đứa nào chịu mặc mà bà may cho mất công",
Ao ục,"Náo nức, rạo rực, ở trạng thái nôn nao trong lòng vì mong đợi điều gì đó",Gần áp Tết người người cảm thấy ạo ực trong lòng,"Gần áp Tết người người cảm thấy náo nức, rạo rực trong lòng",
Áo vá quàng,"Áo có vá ở vai qua lưng, ám chỉ sự nghèo khó","Không thương cô có hột xoàn, thương em chiếc áo vá quàng năm thân","Không thương cô có hột xoàn, thương em chiếc áo vá từ vai qua lưng (ám chỉ nghèo khó) năm thân",
Áo vắn,"Áo may không có bâu, ngắn tay để mặc trong nhà","Chiều bữa nọ, Bạch Tuyết thấy trời tối, muốn đi mua ít thước vải để may áo vắn mặc trong nhà","Chiều bữa nọ, Bạch Tuyết thấy trời tối, muốn đi mua ít thước vải để may áo không bâu ngắn tay mặc trong nhà",
Áp,"Sát bên, liền ngay, ở tình trạng kế cạnh, ngay bên nhau","Nhà ở áp mé sông, không lo gì nước","Nhà ở sát ngay bên mé sông, không lo gì nước",
Áp 2,,"Nhà tôi có 5 anh chị em, tôi áp út","Nhà tôi có 5 anh chị em, tôi kế cạnh út",
Áp 2,"Bỗng nhiên, tự dưng, có tính chất bất thình lình",Ai có nói gì đâu mà áp khóc,Ai có nói gì đâu mà tự dưng khóc,
Áp 3,,Chưa nghe hết đầu đuôi câu chuyện lại áp bỏ đi,Chưa nghe hết đầu đuôi câu chuyện lại bất thình lình bỏ đi,
Áp chót,Điểm kế trước của điểm mốc cuối cùng,"Lớp đậu 50 mạng, tôi đậu áp chót, thứ 49","Lớp đậu 50 mạng, tôi đậu kế trước người cuối cùng, thứ 49",
Át,"Ở tình trạng bị quá lửa, gây hiện tượng cháy sém",Con để lửa át quá nên cá kho chín không được ngon,Con để lửa quá tay gây cháy sém quá nên cá kho chín không được ngon,
Áy,"Vàng úa, có triệu chứng ngả màu vàng",Rau áy vầy còn ăn gì được,Rau ngả màu vàng úa thế này còn ăn gì được,
Áy,"Sầu, buồn rầu, có tâm trạng không được vui",Có chuyện gì không vui mà trông mặt nó rầu áy,Có chuyện gì không vui mà trông mặt nó rầu buồn bã,
Ay áy,"Áy náy, có tâm trạng không yên lòng, lo ngại về một điều gì đó",Ra về lúc này tôi cứ ay áy trong lòng,"Ra về lúc này tôi cứ lo ngại, không yên lòng trong lòng",
Áy o,Không yên lòng về những gì không theo ý muốn,"Không giúp được cho anh ấy, tôi cảm thấy áy o trong lòng","Không giúp được cho anh ấy, tôi cảm thấy không yên lòng",
Ăm bi,(ampicillin) cách gọi tắt một loại thuốc trụ sinh được dùng phổ biến,Chị cho tôi một vỉ ăm bi,Chị cho tôi một vỉ thuốc trụ sinh ampicillin,
Ăn ba hột,"Ăn vội vàng một ít, làm cho có, cho xong (ăn dằn bụng)",Ông ăn ba hột đi rồi còn lo đi ruộng nữa,Ông ăn vội vàng một ít cho xong đi rồi còn lo đi ruộng nữa,
Ăn bãm,"Ăn mạnh miệng một món nào đó, rất thích ăn cái gì đó","Phải năm cơm bảy cháo mới rõ cá lóc có tật ăn mồi chạy bằng nhái sống, cá trê ăn bãm bằng mồi cắt và hơi ngẩm","Phải năm cơm bảy cháo mới rõ cá lóc có tật ăn mồi chạy bằng nhái sống, cá trê rất thích ăn/ăn mạnh miệng bằng mồi cắt và hơi ngẩm",
Ăn bánh men,(Nghĩa bóng) Đi đám tang (do ở đám ma thường mua bánh này đãi khách),"Bà Bảy ngoài vàm bị bịnh bác sĩ chê chở về hồi chiều, nay mai lại phải đi ăn bánh men nữa","Bà Bảy ngoài vàm bị bệnh bác sĩ chê chở về hồi chiều, nay mai lại phải đi đám tang nữa",
Ăn báo,"Sống nhờ vào ai đó, chẳng giúp được gì, hoặc chỉ làm hại người khác","Mày chỉ biết ăn báo gia đình thôi, chớ có giúp ích được gì đâu","Cậu chỉ biết sống bám làm hại gia đình thôi, chứ có giúp ích được gì đâu (Đã sửa lỗi OCR chị ấy thành chỉ biết)",
Ăn bận,"Ăn mặc, che thân mình bằng quần áo","Ngày lễ, ngày Tết mà mày ăn bận gì lôi thôi lết thết vậy","Ngày lễ, ngày Tết mà cậu ăn mặc gì lôi thôi lết thết vậy",
Ăn bòn,"Ăn nhờ, ăn bám, sống nhờ vào sự giúp đỡ của người khác","Lớn rồi mà không chịu đi làm, cứ ở mà ăn bòn nhà anh chị","Lớn rồi mà không chịu đi làm, cứ ở mà ăn nhờ, ăn bám nhà anh chị",
Ăn bòn,"Xin, ngỏ ý với ai đó để mong người ấy cho mình một cái gì",Mới ăn bòn của bạn được bộ quần áo,Mới xin xỏ của bạn được bộ quần áo,
Ăn bòn ăn mót,"Bòn rút người khác, tham những cái nhỏ nhặt",Đằng này nhà anh tràm cả đám mà anh ăn bòn ăn mót làm chi cây tràm của con cháu vậy anh Tư?,Đằng này nhà anh tràm cả đám mà anh bòn rút tham lam nhỏ nhặt làm chi cây tràm của con cháu vậy anh Tư?,
Ăn bốc hốt,"Ăn uống không lịch sự, thô tục","Ăn uống cho nó đàng hoàng, có khách có khứa đầy nhà mà ăn bốc hốt như vậy là coi không được à nghen","Ăn uống cho nó đàng hoàng, có khách có khứa đầy nhà mà ăn uống thô tục, thiếu lịch sự như vậy là coi không được à nhé",
Ăn cám sú,"(Nghĩa bóng) Ám chỉ lợn, chỉ người đần độn, ngu ngốc",Đồ ăn cám sú không biết sạch dơ,"Đồ ngu ngốc, đần độn không biết sạch dơ",
Ăn cấm địa,Hưởng đồ cúng tế từ công giữ đình miếu,Mấy đời nhà ông ấy ăn cấm địa ở đình này,Mấy đời nhà ông ấy hưởng đồ cúng tế từ công trông coi ở đình này,
Ăn cân kí,"Ăn tiền mối lái, ăn hoa hồng do công làm trung gian mua bán",Mày ăn cân kí được bao nhiêu trong vụ mua bán nhà đất này?,Cậu hưởng tiền hoa hồng trung gian được bao nhiêu trong vụ mua bán nhà đất này?,
Ăn chĩa,"Ăn ké, ăn nhờ của người khác","Thằng này, tối ngày cứ đi ăn chĩa","Thằng này, tối ngày cứ đi ăn ké, ăn nhờ",
Ăn chĩa,"Móc túi, cướp giật, lấy của ai đó ngấm ngầm, ma mãnh",Ăn chĩa như hắn ta có ngày cũng vô tù,"Cướp giật, móc túi như hắn ta có ngày cũng vào tù",
Ăn chịu,"Ăn thiếu, mua ăn trước rồi ngày sau mới trả tiền",Làm ăn kiểu này chỉ có nước ăn chịu người ta,Làm ăn kiểu này chỉ có nước mua thiếu nợ (ăn trước trả sau) người ta,
Ăn chịu,"Dùng thế lực, dựa vào thế lực để hùn hạp làm ăn",Nhà máy này hắn có ăn chịu một phần trong đó,Nhà máy này hắn có dựa thế lực hùn hạp một phần trong đó,
Ăn chịu,"Hứa, giao hẹn, thỏa thuận ngầm với nhau",Bọn này đã ăn chịu với làng xã nên đâu ngán ai,Bọn này đã thỏa thuận ngầm với làng xã nên đâu ngán ai,
Ăn chịu,"Ngầm có tình ý với nhau, yêu nhau lén lút",Hai đứa đã ăn chịu với nhau rồi còn cưới hỏi gì nữa,Hai đứa đã yêu nhau lén lút với nhau rồi còn cưới hỏi gì nữa,
Ăn chõm,Ăn nhờ nhân lúc ghé chơi nhà ai gặp bữa cơm được mời,Con đã ăn chõm bữa cơm bên nhà cậu sáu rồi,Con đã ăn nhờ (do ghé chơi gặp bữa) bữa cơm bên nhà cậu sáu rồi,
Ăn chơi,Không phải trả tiền bạc,Bọn bây đánh bài ăn chơi hay ăn tiền vậy?,Bọn bây đánh bài giải trí không mất tiền hay ăn tiền vậy?,
Ăn chơi,Không phải trả tiền bạc,Cho mày một trái mít ăn chơi,Cho cậu một trái mít ăn không lấy tiền,
Ăn chung,"Thu chỉ hòa vốn, không có dư",Ván bài này đủ ăn chung chớ không có lời,Ván bài này đủ thu hòa vốn chứ không có lời,
Ăn chung,"Không đáng bao nhiêu, không đáng kể",Bao nhiêu tiền đó mà ăn chung gì,Bao nhiêu tiền đó mà đáng kể gì,
Ăn cuộc,Thách đố nhau về một chuyện gì đó,"Tớ ăn cuộc với mấy cái gì cũng được, nhà ông Bẩy vừa mới mua xe Hon-da","Tớ thách đố với cậu cái gì cũng được, nhà ông Bẩy vừa mới mua xe Hon-da",
Ăn cuộc,Cá độ,"Tớ ăn cuộc với cậu hai trăm, đội Anh sẽ thắng đội Đức","Tớ cá độ với cậu hai trăm, đội Anh sẽ thắng đội Đức",
Ăn cướp cạn,Cướp giật trên tay của ai một cái gì đó,Bọn ăn cướp cạn đã lấy mất của tớ cái đồng hồ,Bọn cướp giật trên tay đã lấy mất của tớ cái đồng hồ,
Ăn cướp cạn,Lợi dụng số đông ùa vào cướp giật của người,"Mới đổ một đống khoai, bọn chúng ỷ đông ùa vào lấy đi hết một nửa, đúng là quân ăn cướp cạn","Mới đổ một đống khoai, bọn chúng ỷ đông ùa vào lấy đi hết một nửa, đúng là quân lợi dụng số đông cướp giật",
Ăn dầm,"Ăn ở mãi một nơi, không chịu đi đâu khác","Mấy tháng nay, hắn ăn dầm ở nhà thằng bạn, không chịu về nhà","Mấy tháng nay, hắn ăn ở lỳ mãi ở nhà thằng bạn, không chịu về nhà",
Ăn dầm nằm dề,"Đeo bám mãi một nơi nào đó, hàm ý chê bai",Hắn đeo đuổi con Ba nên ăn dầm nằm dề ở nhà bên cạnh,Hắn đeo đuổi con Ba nên đeo bám ỳ ra mãi ở nhà bên cạnh,
Ăn dầm nằm dề,"Đeo bám mãi một nơi nào đó, hàm ý chê bai.",Nó ăn dầm nằm dề ở nhà con nhỏ đó hổm rày hổng chịu về.,Nó đeo bám lỳ lợm ở nhà cô bé đó mấy hôm nay không chịu về.,
Ăn dầm nằm dề,"Đeo bám mãi một nơi nào đó, hàm ý chê bai.",Mới quen mà qua nhà người ta ăn dầm nằm dề coi sao đặng.,Mới quen mà qua nhà người ta bám riết không dứt trông sao được.,
